,model_name,time,mse,rmse,score
0,dtr_minmaxscaler,3.08,331.9997081527093,18.220859149686362,0.7949525398325576
1,dtr_standarscaler,1.51,331.9997081527093,18.220859149686362,0.7949525398325576
2,dtr_robustscaler,1.65,331.9997081527093,18.220859149686362,0.7949525398325576
3,dtr_best_hyper_params,65.37,193.89374829250522,13.924573540776938,0.8797391573956735
4,knr_minmaxscaler,75.55,331.30450892450597,18.201772136924085,0.7951715675169029
5,knr_standardscaler,82.73,283.6109928512886,16.840753927639007,0.824658000311304
6,knr_robustscaler,78.55,321.475679582916,17.929742875538288,0.8012482240457173
7,knr_best_hyper_params,0.0,370.85421409707675,19.257575498932276,0.7735002566185764
8,lr_minmaxscaler,0.68,144.76332595745987,12.031763210662843,0.9105126809338104
9,lr_standardscaler,0.55,144.76332595745987,12.031763210662843,0.9105126809338104
10,lr_robustscaler,0.61,144.76332595745987,12.031763210662843,0.9105126809338104
11,lr_best_hyper_params,0.02,152.90173635953659,12.365344166643183,0.9072306007779216
